type_label_long,type_label_short,priority
Desert & lace-up boots,Shoes,1
Desert & lace-up boots,Knee-highs,2
Knee-high boots,Knee-highs,1
Knee-high boots,Shoes,2
Mid-calf boots,Shoes,1
Mid-calf boots,Knee-highs,2
Over-the-knee boots,Shoes,1
Over-the-knee boots,Knee-highs,2
Snow boots,Shoes,1
Snow boots,Knee-highs,2
Wellington boots,Shoes,1
Wellington boots,Knee-highs,2
Work boots,Shoes,1
Work boots,Knee-highs,2
Ballerinas,Shoes,1
Ballerinas,Knee-highs,2
Boat shoes,Shoes,1
Boat shoes,Knee-highs,2
Espadrilles,Shoes,1
Espadrilles,Knee-highs,2
Lace-up shoes,Shoes,1
Lace-up shoes,Knee-highs,2
Mary Janes,Shoes,1
Mary Janes,Knee-highs,2
Trainers,Shoes,1
Trainers,Knee-highs,2
Sneakers,Shoes,1
Sneakers,Knee-highs,2
Derby shoes,Shoes,1
Derby shoes,Knee-highs,2
Monk strap shoes,Shoes,1
Monk strap shoes,Knee-highs,2
Oxford shoes,Shoes,1
Oxford shoes,Knee-highs,2
Slip-on shoes,Shoes,1
Slip-on shoes,Knee-highs,2
Court shoes,Shoes,1
Court shoes,Knee-highs,2
High-heeled sandals,Shoes,1
High-heeled sandals,Knee-highs,2
Basketball shoes,Shoes,1
Basketball shoes,Knee-highs,2
Climbing & bouldering shoes,Shoes,1
Climbing & bouldering shoes,Knee-highs,2
Cycling shoes,Shoes,1
Cycling shoes,Knee-highs,2
Dance shoes,Shoes,1
Dance shoes,Knee-highs,2
Football boots,Shoes,1
Football boots,Knee-highs,2
Golf shoes,Shoes,1
Golf shoes,Knee-highs,2
Handball shoes,Shoes,1
Handball shoes,Knee-highs,2
Hiking boots & shoes,Shoes,1
Hiking boots & shoes,Knee-highs,2
Ice skates,Shoes,1
Ice skates,Knee-highs,2
Indoor football shoes,Shoes,1
Indoor football shoes,Knee-highs,2
Indoor training shoes,Shoes,1
Indoor training shoes,Knee-highs,2
Motorcycle boots,Shoes,1
Motorcycle boots,Knee-highs,2
Roller skates & inline skates,Shoes,1
Roller skates & inline skates,Knee-highs,2
Running shoes,Shoes,1
Running shoes,Knee-highs,2
Ski boots,Shoes,1
Ski boots,Knee-highs,2
Snowboard boots,Shoes,1
Snowboard boots,Knee-highs,2
Swimming & water shoes,Shoes,1
Swimming & water shoes,Knee-highs,2
Tennis shoes,Shoes,1
Tennis shoes,Knee-highs,2
Sports shoes - Other,Shoes,1
Sports shoes - Other,Knee-highs,2
Clogs & mules,Shoes,1
Clogs & mules,Knee-highs,2
Flip-flops,Shoes,1
Flip-flops,Knee-highs,2
Sandals,Shoes,1
Sandals,Knee-highs,2
Slides,Shoes,1
Slides,Knee-highs,2
Slippers,Shoes,1
Slippers,Knee-highs,2
Shoes - Other,Socks,1
Shoes - Other,Shoes,2
Shoes - Other,Knee-highs,3
Berets,Hat,1
Berets,Helmet,2
Caps,Hat,1
Caps,Helmet,2
Hats,Hat,1
Hats,Helmet,2
Headbands,Hat,1
Headbands,Helmet,2
Winter hats,Hat,1
Winter hats,Helmet,2
Hats & Caps - Other,Helmet,1
Hats & Caps - Other,Hat,2
Anklets,Accessories,1
Bracelets,Accessories,1
Brooches,Accessories,1
Cufflinks,Accessories,1
Earrings,Accessories,1
Necklace,Accessories,1
Pendant,Accessories,1
Rings,Accessories,1
Head scarves,Scarves and shawls,1
Head scarves,Hat,2
Head scarves,Helmet,3
Knit scarves,Scarves and shawls,1
Shawls,Scarves and shawls,1
Belts,Belt,1
Gloves,Gloves,1
Accessories - Other,Socks,1
Accessories - Other,Scarves and shawls,2
Accessories - Other,Accessories,3
Accessories - Back protection,Back protection,1
Bandages - Arm,Bandages for the arm,1
Bandages - Knee,Bandages for the knee,1
Bandages - Leg,Bandages for the leg,1
Bandages - Shoulder,Bandages for the shoulder,1
Helmet,Helmet,1
Helmet,Hat,2
